recoTheta,trueTheta
53.756507,54.045717
29.349498,28.616668
31.713280,30.813615
73.042951,72.123925
43.066513,58.167978
34.581386,33.537598
53.330245,53.991693
6.758073,6.146375
29.440569,25.401547
17.717733,17.721570
18.490697,156.129671
26.778951,27.177904
3.601359,3.637496
23.296264,23.412522
76.988570,71.538364
12.013668,11.835512
1.604009,1.628347
1.687252,0.853634
3.714466,3.744079
39.774211,37.356164
19.990543,20.968706
8.199368,8.134267
7.552475,7.478032
16.526923,13.566944
40.149090,41.616530
36.149046,32.138754
30.657077,31.147206
6.282006,5.758268
51.790553,52.624116
21.539498,19.730964
22.986254,19.513295
23.752852,24.711145
17.065493,21.508641
32.962555,31.273290
5.551709,6.038905
26.074454,24.161634
53.252038,51.343331
44.334538,45.586457
36.125402,34.461007
23.982643,21.734747
8.314109,6.874864
12.513278,12.433207
15.621174,15.588203
5.769660,2.052903
13.807780,14.385353
3.562274,4.092420
17.242281,15.908246
9.381210,8.733182
57.630075,56.641916
14.829101,14.677306
13.422131,12.356376
15.628693,15.342369
20.271476,18.507756
39.787976,39.326301
34.377038,31.841571
36.677131,38.462532
43.431519,43.174976
18.689211,17.407777
19.883378,20.710910
35.024599,32.271084
40.516814,39.844435
18.597916,25.475805
13.120885,12.418733
5.711550,4.338199
55.248004,54.844257
7.100670,7.746306
21.675481,21.777029
24.227904,24.351689
2.205135,2.549601
53.065105,51.721936
12.714947,12.806478
21.436048,14.150354
22.006197,19.889151
20.370817,19.603037
7.930657,7.593961
23.978904,23.976937
14.402004,13.980209
35.890963,35.838700
6.334719,6.859898
8.251763,7.971714
21.774920,18.207371
26.106788,21.141038
3.052681,3.223490
18.699813,17.176695
32.764493,27.382723
26.079799,26.167265
32.937377,31.795796
9.057444,8.856188
13.463909,12.444116
7.176929,6.809304
7.905172,7.780462
18.659187,19.532783
15.780850,2.708049
44.438242,42.972908
34.691025,26.481067
21.217141,20.700199
12.503739,12.398454
21.914647,22.481855
31.212708,28.606021
23.594527,26.476670
25.545624,24.830017
39.769258,39.415165
20.347012,18.936544
29.624578,30.865411
5.662889,5.813992
13.105848,22.845090
14.203898,13.686676
29.299425,26.712772
24.208248,24.041012
14.197536,12.431447
12.305636,10.505301
6.346562,5.201909
39.602497,40.862363
26.255364,25.678208
13.220556,11.564715
32.893120,30.666553
30.609149,29.836245
29.652112,30.014226
11.030390,8.658981
29.788800,28.975045
19.995827,19.533957
4.828766,5.373485
18.773490,15.769268
27.543703,25.837587
53.765238,55.698352
36.069767,31.449618
28.689400,27.621155
28.837715,28.399764
11.720437,11.375634
32.627093,32.791296
10.351040,10.491413
18.362927,16.770933
16.822942,15.243277
11.865014,8.950454
12.109748,12.926256
5.535907,4.973781
16.204046,14.956186
35.604623,34.963269
9.613291,8.104501
7.838770,8.066380
23.777055,23.052549
35.722313,34.453541
28.047098,24.109049
8.603502,3.439971
28.234571,20.292904
33.478601,31.655809
26.278668,25.288876
20.848122,21.645143
32.695822,32.051790
2.729146,2.589668
36.491670,34.907599
7.348442,8.913390
24.090465,22.308632
17.304044,16.552631
11.110673,9.796471
38.094409,36.382306
8.169286,8.189137
25.115110,25.534947
58.505096,58.412296
24.606608,25.063387
35.074177,31.704054
13.906298,11.948587
3.801121,1.735283
55.541080,51.844609
7.760685,7.543427
33.902372,28.712902
4.468132,4.085476
8.794552,8.549320
13.936022,13.608561
15.528871,16.757352
4.929309,6.765440
16.361222,14.867855
13.993067,12.893636
16.190310,16.854384
13.428853,12.009401
22.344007,20.677212
13.687412,13.216837
28.471555,27.414530
13.485351,11.752186
17.844849,20.088530
4.188626,2.616736
48.364078,49.430320
3.696870,3.513796
37.099025,42.194223
9.633618,7.282464
33.016188,34.036238
17.342672,15.919269
15.600209,15.136465
15.326408,12.835534
16.113730,14.823202
38.550608,36.462660
18.854669,17.102948
18.622892,17.324194
33.911475,27.902313
5.959438,5.921656
9.055838,6.951555
64.719054,62.891973
22.909069,14.878325
11.626576,11.918131
24.098421,24.822940
15.506928,17.032774
26.286442,25.831498
4.758805,5.298533
20.909191,15.191911
41.555863,42.686507
23.326512,23.841704
6.775260,6.958803
13.491061,11.860728
15.829012,15.849594
2.746448,2.561014
20.112042,16.701270
44.182917,42.482184
33.279384,30.276989
49.361783,47.553370
11.921736,11.714316
11.732687,11.297105
20.940058,19.778100
26.638718,26.372072
3.190955,3.374464
15.496207,16.242026
15.824541,12.848671
18.653208,17.691050
0.427958,0.880490
36.025556,37.567897
26.082456,25.402765
33.462972,32.390330
2.673202,2.712022
15.373046,15.344460
6.678143,7.641132
27.184236,27.678717
28.144623,22.385876
20.896431,19.620375
12.061859,12.188757
34.619413,32.911421
19.012850,17.806875
24.376681,24.780850
37.507031,38.147838
28.395132,27.346287
38.364669,36.025422
24.936162,26.385562
12.905156,11.444117
8.291145,7.322550
11.414388,8.130573
16.121247,16.737548
19.454442,18.154320
41.090304,36.569036
39.211411,37.226492
17.372400,12.788331
32.459569,32.725152
25.628921,23.520204
34.833954,34.360897
23.382973,22.539683
2.307238,1.844087
7.375148,6.949382
34.577830,29.087550
20.667712,18.045472
8.420212,7.876914
21.918023,21.069945
15.204235,18.106130
10.693103,10.076712
4.923463,4.074051
13.879330,13.786085
12.747505,12.843909
20.412854,18.852683
23.908850,23.960763
26.732905,28.262878
1.141582,1.146713
63.851967,59.238116
5.816082,5.254379
20.921254,23.364517
3.778801,3.631031
21.499818,19.729093
19.339663,20.300563
18.317984,19.112990
29.452316,24.840489
57.849125,41.182029
5.701796,4.728991
12.611882,12.732546
18.225364,19.422219
11.793930,11.437729
22.497050,23.028090
10.618988,16.896536
28.326668,30.528676
18.340703,18.210300
25.282032,25.886417
2.230375,1.706397
49.736927,44.344839
28.164845,27.401310
41.635311,42.610906
37.323468,37.921738
29.164421,29.802978
19.289545,14.906138
12.912188,12.638366
16.516679,13.808052
27.624580,29.585126
23.236921,19.999442
5.900599,5.714020
7.733044,7.425023
44.388423,38.402581
5.111478,4.832011
23.050909,22.825237
7.953939,2.062509
12.395527,9.836433
28.590417,27.596099
15.125593,16.034149
5.706262,5.031508
20.733900,19.574587
20.682656,19.606264
11.550021,12.414127
9.676135,7.674807
12.004033,11.266871
35.097372,34.390142
14.465644,13.211160
37.770678,38.694912
11.246280,11.130009
32.996133,33.215512
6.477324,5.778011
3.998852,3.356722
9.869342,8.898147
52.777389,49.792282
22.628964,23.464817
21.715640,20.424610
27.680937,27.043582
39.413358,40.982552
23.556453,31.213017
41.523553,40.861966
17.170161,15.513914
36.811789,34.913894
43.737228,37.229969
28.642513,28.361555
58.603669,56.954596
28.716264,28.121403
17.362252,16.932349
14.728773,13.733161
3.245703,3.240994
11.850305,11.931304
15.846530,9.146775
33.066577,33.409019
18.058521,19.312802
5.682479,6.004202
18.026302,14.871913
18.707417,15.384146
9.680523,9.793942
25.284950,25.684882
5.721629,7.779125
12.643281,12.297525
16.577965,22.108422
16.131956,16.071089
6.490691,6.104994
25.124442,24.774861
23.611338,19.380047
3.694327,3.510340
32.734443,34.248045
10.594683,11.618575
13.298429,11.590461
9.474465,9.845364
22.578949,19.964554
11.824434,12.486723
19.100459,19.250719
4.698946,1.103404
4.039778,4.272877
8.240429,7.548057
38.830420,37.741379
30.540540,25.149228
23.113914,24.460555
34.619028,33.620591
14.046607,14.915030
34.645192,34.768528
36.181142,36.753928
5.934320,4.378956
20.343928,19.420031
47.580573,46.671226
25.924267,25.603486
15.024631,14.720147
3.895511,2.781504
7.489936,5.939834
38.748540,37.894602
12.639068,12.528747
36.481562,38.666279
3.572209,17.839555
41.012396,38.065433
5.957036,6.401808
24.390743,23.623238
16.881325,14.968673
13.522440,13.307957
44.670431,39.941693
21.939861,21.035255
25.226118,23.238141
16.057575,14.908302
6.198054,5.886730
12.396720,10.950677
42.854158,43.019000
4.959186,3.882369
19.443580,10.140688
39.628607,37.422495
9.574276,9.310571
16.664440,16.908740
27.812175,29.646596
24.334621,24.562807
23.560452,24.174554
34.309910,32.662167
7.305597,5.802924
59.879361,61.293375
30.482538,30.210501
25.288956,24.108037
25.685229,22.120551
3.979855,4.353072
22.682877,17.604040
7.562031,6.747879
15.635258,15.052285
6.165547,6.549967
36.516435,36.126392
4.431024,4.315793
45.247077,45.318230
18.168563,18.334884
7.391332,5.831228
6.773523,6.827972
29.937419,31.994638
20.599428,19.335187
3.914366,3.963584
34.600894,31.863528
22.388674,22.129809
11.865263,11.677861
29.172108,31.386508
9.766278,9.977582
29.114212,27.602454
13.273359,12.682306
31.734875,30.393096
19.687785,118.592572
21.581605,17.981342
3.155232,3.430111
18.489200,19.022188
40.635696,44.644674
15.394146,13.054164
28.492431,28.923159
63.177802,57.923358
4.117895,3.940096
10.599938,9.757799
43.328270,41.534493
22.023907,22.033641
20.140269,18.298644
11.267396,8.888626
13.951668,12.269257
14.319762,14.015802
6.336080,6.404809
52.923875,53.343371
14.738589,19.762582
12.179388,11.488851
38.407061,35.297977
41.889350,41.309306
4.347985,4.675794
16.922179,14.997417
12.861733,11.353034
20.424180,21.538186
8.154058,8.363889
7.657065,7.482046
16.443980,17.106130
12.288270,12.175486
18.696755,18.243482
18.056989,19.293494
38.476959,31.301915
22.379321,18.290637
21.302181,21.169691
19.761400,18.693325
40.768995,41.326236
2.030087,1.414577
39.261602,14.470059
7.428775,7.026074
12.979718,10.856850
21.044330,19.590544
10.063997,14.446670
32.700538,31.540619
21.934111,23.023515
29.915589,32.192626
16.953255,16.593314
58.051430,53.745607
8.949773,9.437131
18.315692,17.413849
17.191353,17.813317
10.676378,6.673707
20.808801,21.751691
13.004463,12.377791
23.475553,24.807016
1.213859,0.650719
4.733173,4.245793
8.126853,8.402515
42.226917,43.232568
20.434140,21.255166
23.745382,25.563208
20.486818,20.498231
11.927884,12.078012
21.635567,20.040142
11.988654,9.303096
13.934490,14.135189
16.550952,16.445633
33.726531,29.871604
39.533052,39.317010
50.648628,50.344881
7.019677,6.764077
15.374579,15.263748
15.112788,14.405161
8.379979,6.364240
5.770679,5.705472
9.460742,9.184572
3.709665,3.490932
19.415532,18.383015
33.591992,35.005137
35.649403,35.630630
15.465641,15.202008
8.551938,8.285578
4.560121,4.550446
33.811355,30.795016
2.558414,1.649956
61.175575,50.279955
22.880917,25.313663
13.261484,12.404306
19.173568,18.323601
30.175353,27.390377
7.879355,7.947989
4.343433,4.571147
44.599435,41.514274
17.069438,10.868230
21.697671,21.629555
16.565308,16.650131
15.346809,14.257647
6.586064,6.531138
6.932454,6.751046
23.392652,22.850165
19.661422,17.305399
7.089473,7.098377
30.145758,30.620033
8.666532,8.063069
4.306526,5.362351
26.326629,22.271563
35.976212,35.265079
17.035875,14.463265
5.861168,4.767647
27.997181,26.620691
16.294410,13.975190
10.764739,10.471401
21.490769,19.573619
4.405000,4.562912
36.923941,35.168982
32.934029,29.393379
22.494319,23.589083
20.889853,22.836785
35.650188,18.608760
30.543154,30.987233
19.316199,12.308536
3.394191,4.076022
29.815660,33.172945
34.864984,34.916854
40.340182,40.866043
35.864420,32.154941
11.751096,11.237363
33.862860,33.282857
15.510172,15.460966
23.353320,21.900304
7.523266,7.703190
40.932125,40.178572
3.996745,11.305871
23.454000,21.075910
29.597844,30.075056
35.810635,33.551257
18.228443,15.571228
35.543707,37.348593
39.687106,30.136733
24.060311,23.072905
55.262264,51.138737
35.913036,22.877360
11.292642,8.870816
44.714944,44.851019
14.693283,14.357243
41.219172,32.611198
38.527428,38.841987
26.958484,27.409872
7.916437,8.621473
12.392981,12.525898
11.962551,10.228585
11.788766,12.082972
33.391344,34.428439
69.194598,25.528798
17.332656,17.856781
47.360391,46.334669
13.725765,14.042751
5.597622,7.729769
21.333603,20.572932
23.775607,23.573802
8.678852,7.715029
34.228803,31.187386
20.120045,19.655788
14.607636,12.963880
10.398903,12.034324
30.022220,27.729227
47.802754,43.148881
17.402319,17.123780
20.727311,20.481519
30.478478,33.973543
45.446910,41.497376
15.453380,15.675085
18.552706,16.964764
22.822508,22.353842
23.598340,21.335021
9.233291,7.888816
3.480091,3.657680
56.563693,53.144784
34.582367,34.791829
18.128819,17.463238
33.708099,30.776820
31.817379,29.149526
28.269152,20.888675
35.668179,35.391728
45.297016,45.893895
3.674131,7.964988
11.835912,15.975774
46.397619,46.832133
6.329176,13.666845
14.451747,14.029839
1.248195,2.378910
21.283880,20.603484
8.948653,8.785210
14.939795,14.094732
12.731678,11.958579
5.860466,5.789330
9.967071,11.167012
9.300877,2.185969
13.041291,10.329140
43.124626,42.925708
9.162015,5.247811
37.499923,35.058562
58.334687,56.638547
21.329895,20.763475
14.212066,11.278262
19.913571,19.896318
14.750102,13.295429
21.194114,21.074181
31.488163,30.455915
30.765713,30.185726
19.867507,19.349282
28.449842,28.391520
14.160576,12.952961
26.650316,31.113748
1.571096,5.562571
50.728533,48.426658
13.017478,13.688495
10.365133,10.843897
12.582098,11.398259
16.158582,17.932625
7.044114,6.720532
35.076917,33.492200
5.575978,5.856585
7.686535,7.627302
13.936560,14.995965
4.764112,4.914183
13.342556,11.330320
8.872056,8.523621
50.559143,50.729353
39.403600,39.637971
21.677821,21.401446
16.817396,15.111281
15.373677,14.323613
44.142016,38.762915
7.172007,10.935115
7.420106,7.861499
33.274168,32.470836
3.502858,2.762509
12.939714,13.289354
35.828305,31.810357
4.674243,4.398058
27.154963,29.369698
14.827713,13.798405
26.841524,25.812054
17.712458,14.984518
31.540071,30.272688
25.777585,142.368407
5.381611,7.550110
25.742428,25.727327
17.300519,15.378198
11.766128,11.003155
17.739367,17.082498
22.061026,18.607529
29.573061,30.939826
20.476336,19.665675
4.344740,4.080631
40.059240,40.091546
26.089391,22.937495
24.132039,22.567624
25.067765,23.081966
14.771829,14.761794
13.377081,12.946987
33.486748,34.229332
17.459174,14.028318
25.654277,23.661134
45.268727,43.523072
31.722095,31.814827
29.585631,29.060710
10.266671,9.853570
4.121745,3.518140
1.192554,0.170174
3.491156,3.782582
11.371651,12.810760
17.277766,17.856079
10.332872,9.244203
36.445095,40.108671
26.960917,26.749580
7.327559,7.378871
3.659339,3.259546
42.455493,43.182482
36.048155,37.131466
19.800301,19.435699
19.234336,18.261822
8.125839,8.964623
11.900672,11.193731
25.776171,26.027618
5.839256,5.165015
14.801321,14.722338
21.401091,22.685073
19.183829,18.587419
33.460302,34.459577
17.472476,18.531647
13.560886,14.660988
6.333388,4.852845
45.056707,43.754599
7.295465,7.405918
44.494386,41.291755
31.058301,35.110680
14.015336,13.985212
40.798519,38.701811
13.154752,16.300593
40.762693,44.207191
6.378488,6.636224
78.884714,60.803943
28.506359,26.780104
27.610826,26.592095
16.329550,15.995565
9.978390,10.930109
12.953600,11.356954
7.676546,7.204703
20.059009,27.249744
27.574063,26.732138
17.552249,18.617459
28.196490,28.352021
32.009460,29.864370
34.432208,34.672720
23.649431,24.313587
44.681563,42.141661
20.603203,19.151303
32.594471,37.627281
4.950131,5.906276
9.322300,9.573865
33.301478,32.760107
44.941373,44.874442
43.648993,37.709041
38.133969,34.939532
15.003038,16.915326
4.055213,3.732923
8.114814,7.427692
35.453955,41.182268
12.516383,13.302229
29.744480,30.116974
28.459941,28.364970
20.737228,20.628944
20.861926,19.893106
28.012469,18.482931
30.838553,31.166936
14.981479,14.573473
38.897838,34.859553
18.199839,20.653997
2.217438,2.949885
10.603224,8.974742
31.313995,28.829366
4.652569,4.458609
39.243785,39.201702
61.444913,57.984688
14.000395,13.083448
7.281682,14.499251
10.636505,10.398789
10.516871,10.003842
17.322795,17.295890
7.297401,7.016882
39.221188,35.490212
18.490298,17.651179
20.265630,18.073421
9.104829,8.682721
44.408641,42.515568
38.790518,37.819800
14.337976,13.990411
13.578803,10.285929
4.674453,4.180248
17.218323,15.537147
29.130365,29.209472
25.216068,18.522554
34.729397,36.027385
4.108372,3.888719
12.233594,11.794732
36.041242,31.132823
33.098780,31.782305
33.418855,32.544068
35.502440,36.226113
27.017499,25.813309
9.098007,10.196804
22.155278,17.505193
38.797915,115.708067
22.025246,20.424777
17.231805,16.661105
25.668133,26.242391
21.407632,22.954996
30.945558,30.590847
22.907472,23.364302
29.779924,27.054629
30.109418,26.105081
32.652939,33.345385
38.670078,30.054073
10.729686,10.628231
4.677009,4.246624
30.374136,30.357910
31.677368,31.073668
19.678376,17.622414
13.655885,13.317879
52.859105,53.422523
26.100098,24.432877
4.284549,4.669128
35.295199,34.594182
44.140486,39.956133
10.173474,9.969458
21.364926,19.219641
11.617168,9.085364
13.444799,14.527759
30.186664,29.149911
14.214527,15.584416
39.112697,34.616509
33.595881,31.208318
15.217811,9.864081
31.648390,31.205656
23.057581,23.974214
10.552305,7.720115
41.342007,39.697982
20.963629,20.577703
27.869893,30.598383
11.924596,8.749227
21.381774,21.804444
36.437742,38.069565
3.570071,3.069054
29.700417,30.057360
43.072564,41.927165
1.653392,1.382676
6.835580,6.945316
35.307763,34.550434
22.385903,22.243649
32.931246,31.805381
48.261450,48.242596
5.558447,4.660057
34.493343,34.269114
41.241276,41.284229
38.576329,35.901127
4.785283,4.523030
32.959912,31.133021
21.149880,19.480336
13.773497,12.450073
47.865075,33.084468
33.114742,32.544436
15.569282,15.584556
29.219554,26.011885
6.709755,5.985400
18.259729,18.919447
15.996928,15.962094
35.660535,34.523683
10.115558,10.172759
3.000288,3.177121
13.576781,15.560156
11.013760,10.315398
7.290461,13.335273
36.437155,35.504869
12.812146,13.420689
18.892644,18.105932
29.251502,33.281469
11.542241,9.892865
20.994095,20.600000
62.137554,62.366355
5.658700,4.615540
26.451565,26.228277
40.111268,40.335276
20.033015,19.756470
11.237994,9.681640
15.055177,8.602680
5.118832,5.141404
31.213426,29.095192
14.809233,19.251869
42.775136,41.832939
28.365322,27.964426
32.068917,30.609632
22.169492,17.809119
47.808226,46.171189
32.495325,33.676856
17.597275,18.907162
9.315509,9.571463
34.568453,37.957743
13.771833,13.761328
32.015548,29.552343
24.913748,25.968227
15.309770,13.108333
36.368613,35.875966
3.956710,4.361433
29.725669,29.038556
23.378627,24.066818
11.866492,10.988957
5.571723,4.834442
28.881724,30.312876
9.566799,9.962690
2.364468,2.509675
15.191442,13.495291
42.979260,37.053640
42.846561,39.989490
12.212285,11.135846
4.775160,5.007503
17.889951,17.330409
39.079593,37.517518
42.426915,41.356512
3.466562,3.746118
9.287619,8.659004
16.640319,15.888037
37.020648,36.227396
1.899810,1.654339
23.164528,23.289657
23.317170,23.728566
11.258093,11.569654
18.808339,18.768099
36.615469,34.502322
34.032998,32.158098
22.472440,21.696960
2.789796,2.716925
12.688154,10.562482
19.494044,19.502730
17.028401,16.531532
28.472243,28.157689
5.282199,4.495795
48.472812,51.299440
27.527739,24.952851
32.937917,31.778524
27.597176,32.829993
22.176459,21.803460
2.807352,2.321362
27.867482,27.197793
16.492781,15.170302
14.655712,14.816366
39.462382,37.766117
4.835780,4.486156
34.806424,32.162242
10.141018,10.650188
51.001139,51.863117
6.883988,8.630808
3.434845,2.610895
27.738723,27.200483
27.323574,26.832158
9.612003,8.247883
43.645262,44.497500
12.185440,12.762030
33.290666,30.790313
5.229746,6.736447
5.586021,5.683134
24.648682,23.389349
27.870105,26.822344
11.685754,11.430873
52.243005,49.667317
33.291674,32.873545
43.713330,42.242916
3.563263,2.956647
36.771332,36.612463
10.387147,10.364165
27.030367,26.881582
23.537168,21.068577
6.636253,6.715160
9.567292,8.854524
29.554441,28.836447
11.185371,10.839993
26.267281,27.633498
24.872540,23.185381
15.634738,14.898954
29.177320,29.234452
16.134967,15.140271
12.719942,9.392747
7.821775,7.760356
12.017851,11.614250
23.063858,22.778948
5.117377,5.613041
15.086726,16.372796
4.501151,4.939988
20.530108,20.730640
27.508322,24.079988
40.917199,36.150992
39.723420,40.945477
27.394304,23.117324
10.943411,9.334499
26.342211,22.281942
54.418595,44.237893
12.849869,11.816449
27.108017,25.181890
29.747702,26.990625
30.164821,28.494886
10.267342,9.261492
12.864495,17.451364
20.212381,19.775092
12.538363,14.298413
25.671744,21.202416
16.110543,17.157697
15.831766,15.847818
6.355731,7.593392
34.935459,33.376809
35.944173,37.402579
34.410948,36.587851
19.760572,18.700367
27.206227,26.624364
23.939638,22.114764
15.995540,16.549646
9.836133,8.560317
34.663534,33.310453
18.346975,18.261941
47.954014,47.852230
33.268566,29.788257
6.264348,5.384887
20.101273,14.662311
25.632474,29.372727
27.196724,25.665579
14.820679,14.161567
25.812603,24.876852
41.407469,36.727290
14.847744,14.158566
54.294941,55.331707
6.199730,6.595912
47.527290,46.596214
5.189237,4.664637
17.799112,15.379370
22.254166,25.855127
7.151928,7.898738
16.419689,14.667342
34.693246,30.576087
16.032851,15.344370
18.960639,19.257596
18.136852,17.717497
45.375752,45.046917
19.010134,17.678707
8.039930,7.473832
23.220919,19.894672
35.371663,31.194488
29.280410,29.070953
9.930007,10.560451
10.376326,11.186234
41.189409,40.270176
9.834353,11.971906
17.371908,17.081743
22.677820,21.936524
52.106282,49.077541
19.148045,19.045498
9.233376,8.097667
22.393748,22.862070
41.361660,42.661839
24.721224,24.809189
24.839465,22.315208
51.797150,50.355433
3.966745,4.030315
33.026560,30.781572
42.049964,39.474557
24.757954,24.735119
48.022329,45.943361
24.425198,24.621728
2.597140,1.722719
28.003786,27.538304
14.118301,13.845634
36.620668,36.168847
47.760653,44.625683
27.500920,25.212781
11.174680,10.833381
20.501303,17.062630
12.855749,12.628997
44.844865,42.245212
7.173374,9.067092
32.725727,29.048657
35.406102,33.165255
19.165383,16.883136
14.082428,14.709418
33.043762,28.896138
19.135881,18.880332
20.675945,20.966587
49.544444,48.885897
16.202308,14.639087
13.987953,14.180009
27.891933,25.438113
10.966970,9.611164
22.926951,20.537245
6.560736,8.463875
2.138539,2.586794
23.415358,24.269115
18.794607,18.151547
17.715746,20.357519
55.921103,53.517367
24.230159,23.047010
25.378147,19.705122
12.497538,11.492896
20.462254,22.621764
14.560085,12.541320
12.115558,9.533082
10.054906,10.316485
33.468583,33.443377
16.497977,16.616940
9.968058,8.704321
42.652112,42.837686
10.393888,10.054827
31.272251,32.326094
17.641017,16.956523
16.026643,14.691102
7.103792,5.837107
30.187234,27.228822
25.038901,25.336529
21.236940,19.079220
1.842707,2.322542
39.282955,38.148672
1.232100,1.763696
24.712868,25.955496
39.794988,39.888869
70.748698,58.020894
33.295973,33.524251
40.023404,37.741999
27.756489,26.555842
33.303133,31.546742
23.928939,24.953612
51.366112,51.937343
4.878975,6.665680
4.705986,4.584711
17.078034,17.066634
35.819191,35.991917
51.701722,46.187737
29.278426,26.933290
13.338737,11.420081
46.037966,45.970418
28.169627,28.342189
31.698822,32.257598
1.676781,1.506751
9.655897,11.051789
43.767950,41.754691
23.501199,23.151111
1.491610,1.448073
38.063145,33.044056
23.782247,20.061030
7.203804,5.905945
54.515829,51.762788
9.309642,9.983671
39.235860,37.419257
15.373522,16.884782
8.524842,9.323122
37.342198,33.425346
12.715955,11.484255
45.385827,45.958243
30.223510,28.360815
17.572666,16.546084
13.969504,15.482806
20.824791,21.064178
15.356393,17.608533
7.262527,7.038682
30.782960,25.524741
22.710182,22.817101
8.545046,8.095921
4.773683,4.232812
1.729861,3.426570
3.982658,4.297648
39.189625,38.676537
15.293452,13.983629
9.314897,8.406791
11.997135,11.342186
17.920654,18.808604
44.789334,47.971257
32.257937,28.951017
5.874764,5.866784
3.966004,3.720523
39.508355,36.998947
5.266410,5.075512
31.269678,27.250795
37.320736,33.045447
10.807641,8.976559
26.309483,23.481536
17.266206,16.937601
6.282194,4.477941
25.434495,25.758338
53.180832,55.966178
27.204883,27.637481
14.554691,14.056144
6.852746,5.144452
32.432764,32.499780
30.735209,31.288543
35.617603,33.326617
6.046821,7.077758
33.689209,32.565450
5.058305,4.700280
20.869318,20.481089
48.273243,48.804127
11.284739,10.175717
24.787881,24.135806
36.936121,36.438604
12.274431,12.299353
23.070055,25.433477
51.739397,52.369511
32.037334,29.627280
34.998314,35.479293
2.639972,4.411487
48.902481,46.922637
15.918024,15.396718
7.159386,8.463202
18.122068,16.090236
29.846115,31.166507
23.514067,25.692697
44.045236,44.778921
18.330074,16.378877
44.471167,46.079362
23.407829,22.954226
36.006035,34.078565
13.463132,13.697800
21.885110,20.818642
8.455518,7.879355
7.421851,3.752020
10.878043,11.152420
20.921197,20.838120
12.484227,12.833735
25.265074,28.502988
7.310563,7.529002
12.877618,12.166042
17.210777,17.080289
1.829597,1.677714
34.885273,23.315703
6.004169,6.114781
24.825999,25.272242
35.606019,33.802179
17.129590,12.546839
18.782264,17.471498
28.612818,23.956600
45.701885,47.513959
1.448749,1.771004
2.696677,2.770433
2.967287,5.050358
28.658589,27.506651
39.088617,34.166942
12.297990,12.141191
12.179048,12.798418
11.879240,11.622119
33.367956,34.777330
15.829788,15.702137
30.580001,31.288365
4.029829,2.759034
47.280049,45.713193
22.631928,22.536984
40.991637,39.657079
22.870103,22.559551
5.665484,3.400933
23.328556,20.806724
7.761949,5.296240
11.143500,9.780401
28.192912,24.253457
5.351413,5.265033
19.312503,17.886482
34.421461,35.879358
15.895246,16.998043
41.532649,39.726946
44.719535,42.073938
7.723292,8.059636
49.287133,45.594058
24.653685,25.522744
16.277861,17.814813
31.718633,25.811418
11.329781,10.404918
16.393803,15.128760
35.400449,31.834580
4.896490,5.477543
9.542769,9.695560
43.569693,45.126341
24.828162,19.179972
49.123884,44.931456
20.456225,19.487073
21.547282,20.798272
8.135666,5.895414
11.526562,15.291147
61.490592,60.547076
30.124174,26.173700
0.512055,0.227282
35.700256,33.320644
44.137033,41.497355
18.548778,16.453315
10.904468,10.117657
19.769650,19.202444
25.080279,22.425747
0.676086,10.097809
6.489361,5.722623
11.886786,11.532799
