recoP,trueP
3.502060,3.408985
2.274779,2.439401
1.603541,1.691763
1.359851,1.335136
0.867578,0.853480
0.760642,0.781600
0.660583,0.626276
0.486530,0.460012
0.816050,0.801369
1.035623,1.132906
5.419454,5.874948
0.596622,0.587919
1.683262,1.444414
0.406213,0.461360
0.412679,0.326267
0.538073,0.566529
1.149099,1.108040
0.547095,0.546715
0.459948,0.438241
0.836677,0.795994
1.105490,1.264882
0.642022,0.644476
0.714424,0.715991
0.668247,0.703298
1.988325,2.858615
1.259067,1.280656
1.257873,1.190203
0.352647,0.332360
0.445113,0.454982
0.636990,0.622295
0.831172,0.830984
0.623661,0.615774
0.467202,0.481744
0.358778,0.410872
0.561113,0.564848
0.558795,0.558495
1.838694,1.737567
0.997565,1.042633
1.767706,1.617169
0.791476,0.891670
0.660652,0.656414
0.733817,0.756151
0.768841,0.715195
1.526007,1.654707
0.529745,0.527008
0.511742,0.518602
0.638850,0.631854
4.709945,5.457938
0.980806,1.022928
0.426342,0.462280
1.005854,0.993996
1.378521,1.072327
0.396214,0.412156
0.567162,0.603166
2.936073,2.578389
1.000938,1.000618
0.996251,0.993514
1.147906,0.993599
0.480979,0.536270
0.714912,0.710215
0.931999,1.001280
0.477075,0.559953
0.979106,0.890226
0.830615,0.770250
0.731323,0.627741
1.241445,1.171448
2.509584,2.259823
0.644942,0.696989
0.449953,0.370163
4.074048,5.430250
2.477635,2.795715
0.499277,0.486119
0.829477,0.868718
0.630344,0.638347
1.133551,1.159458
2.699601,1.791404
1.051962,0.678799
0.504376,0.554011
0.633577,0.627940
0.634360,0.650616
0.534757,0.538698
2.381442,2.405431
0.533543,0.499056
1.026083,0.976115
1.032095,0.944901
2.789537,2.080520
0.842528,0.959233
0.600483,0.625815
0.670327,0.613334
0.681431,0.699870
2.751101,2.334260
0.531945,0.540155
0.927990,0.979365
1.604452,1.542720
0.452803,0.471361
1.390868,1.344123
0.518040,0.536805
0.746284,0.692016
1.660185,0.851459
0.558864,0.547930
0.581011,0.543029
2.235212,1.698244
0.707905,0.688852
0.380194,0.385640
1.687045,1.677656
0.439612,0.571570
1.080999,1.108708
2.455922,2.530192
0.456831,0.456242
0.554681,0.600710
1.201569,0.712881
0.568415,0.627714
4.620237,3.649464
0.703817,0.675992
0.331637,0.348968
5.211784,6.373285
0.548727,0.535026
4.828605,4.483599
0.756284,0.694556
