recoTheta,trueTheta
35.200376,33.390637
31.559775,31.895200
25.113919,27.205884
31.455868,30.683215
30.551748,30.863254
20.900500,20.570307
30.871887,27.068673
33.063047,31.052780
32.354707,32.882535
27.551900,26.794986
27.249027,27.060852
20.535307,21.049132
28.420809,27.113248
17.492233,16.877538
31.575327,31.574851
17.869117,17.662371
19.337694,17.670079
15.692241,11.883918
23.172809,22.479434
45.354544,44.020891
11.946838,12.983123
8.131152,7.979590
11.990380,10.606601
21.294452,20.325462
51.530010,52.848724
15.560882,15.474309
24.673286,25.480822
24.241482,23.588895
17.953366,16.662772
8.964535,8.939340
19.500357,19.779129
12.575606,12.499716
14.390768,14.719085
11.912342,12.454904
16.514661,13.530252
28.212062,26.757424
5.056212,4.598192
18.415582,18.969613
4.680023,3.542156
14.359474,12.687548
12.264146,11.580104
18.666561,17.784649
15.178626,13.595245
5.582336,5.768335
4.613417,3.300730
21.928579,18.602209
23.415289,23.690313
26.087605,26.473307
13.549346,12.430891
7.916090,7.687454
44.090567,42.364306
6.939129,6.654933
30.323856,30.574301
10.822056,10.362722
34.933252,32.321540
9.777526,9.172754
8.856121,9.283873
5.285352,5.771494
10.366879,9.577478
15.879652,14.388995
21.453478,19.273722
14.619223,12.198409
48.847238,49.614450
13.463572,12.794563
27.110422,24.792035
16.710406,15.526383
25.843370,23.757074
38.781037,39.860167
29.863183,27.818470
48.933208,47.801099
10.105169,11.287583
29.294742,28.036027
25.001863,25.209639
13.483550,13.396109
31.813000,28.819343
49.476054,44.748377
11.331449,12.106085
4.008194,4.266501
14.042470,13.324104
29.635810,29.316755
31.909727,30.724870
34.797167,34.629222
4.762261,4.342576
21.584836,17.425222
8.307966,8.265077
9.160857,8.899670
15.446996,17.519243
26.257710,26.329409
22.313769,22.255780
10.700131,15.460274
7.501454,7.358128
42.691201,38.043842
18.350457,16.768092
36.482906,35.213414
14.051545,12.277258
22.762262,19.671661
16.932853,16.668762
33.511634,29.282581
10.005238,7.313783
5.808967,5.849586
10.976588,10.599028
6.485674,5.039912
31.729005,28.554465
16.627971,14.116928
51.768562,47.210507
17.562562,16.579006
11.352600,10.387052
16.858577,16.408837
