recoP,trueP
1.233058,1.111732
1.725906,1.469021
0.846041,0.789326
0.883016,0.888900
1.891306,1.375224
3.149069,2.899625
0.404243,0.408048
1.741146,2.170199
1.154989,1.206200
2.619001,2.425411
0.794086,0.830386
3.111783,2.535461
0.932289,0.886124
3.707578,3.491755
1.841846,1.766564
3.485595,2.428047
2.068201,2.087262
2.314965,2.423637
0.714330,0.726368
0.955586,0.922874
2.872263,3.698864
2.217726,2.542861
2.662491,3.198560
3.080375,2.755721
0.377772,0.387269
0.490030,0.504983
2.383639,2.121154
3.883608,3.275112
4.578120,4.251229
5.088072,7.060914
2.875494,3.204577
4.565542,4.968490
0.915270,1.002968
3.448238,3.218377
0.569277,0.495093
8.320848,2.669760
2.322671,2.323760
1.687605,1.636684
13.834758,8.615159
2.159803,2.187293
2.255847,4.041130
1.823324,2.226792
2.251080,2.113252
4.204038,3.425619
3.992408,13.198745
1.195615,1.161235
3.081973,2.855977
0.850001,0.881302
1.905189,1.839993
5.625687,6.087896
0.827741,0.781818
4.289839,3.668393
1.451435,1.341015
1.616953,1.679538
0.406921,0.424074
4.723927,5.165632
2.693688,2.805533
9.382963,4.290063
4.204061,4.040180
8.531063,7.033492
1.894185,0.543933
1.882977,2.007576
0.533060,0.523441
4.720163,4.773208
1.927405,1.415090
0.374916,0.390060
0.904788,0.855285
1.522857,1.659745
1.008612,0.988808
1.021375,1.380371
2.594950,4.498748
1.162545,1.056626
1.806581,1.597186
2.346343,2.400124
0.885893,0.877185
0.528555,0.579468
3.135250,3.283590
7.049787,8.359669
3.262606,3.257483
0.943694,0.929052
0.808210,0.823447
3.012818,2.574063
7.645769,6.408698
2.153014,2.076675
3.700960,3.554556
2.393753,2.148652
0.506313,0.499513
3.428946,2.513033
1.080524,1.090811
1.623188,1.785638
3.293806,3.739756
0.476977,0.474265
1.466452,1.422223
0.688555,0.715607
2.371479,2.223408
0.864839,0.886584
2.725871,2.826693
1.524087,1.504560
1.969606,1.823524
2.405096,2.461990
2.277050,2.140762
0.800105,0.899575
0.393359,0.338580
15.197681,2.965302
1.109839,0.924890
2.097964,1.843058
5.276945,4.028750
6.496903,6.163365
0.991002,0.989228
1.902170,2.376320
3.520274,3.481085
8.705913,4.404941
1.629541,1.705119
2.431530,2.315079
0.411917,0.412369
0.643982,0.581217
31.265559,9.956528
0.652507,0.659257
2.604308,2.679134
1.781339,1.628752
1.749690,1.808928
4.841223,4.229125
5.007280,5.334262
4.476208,3.640440
3.179164,2.529801
2.286613,2.356241
10.982984,6.309902
4.126541,3.839879
0.682576,0.680168
1.041776,1.034096
2.928485,2.960960
2.722833,2.332606
5.089952,4.569238
2.757652,2.048288
1.443087,1.376308
1.420602,1.379810
0.462625,0.455357
2.699061,2.880874
0.841732,0.791500
0.866345,0.928767
3.946583,4.518580
4.613097,4.288523
1.682769,1.130198
0.822108,0.828121
1.416872,1.080975
5.727669,6.872053
0.825758,0.859438
0.980433,1.008918
0.300763,0.309860
3.344241,3.358273
0.947744,0.920787
1.021829,0.919874
4.126879,4.072917
0.506111,0.476270
0.521171,0.492986
2.534828,2.783869
1.516613,1.251853
3.269651,2.633993
0.528515,0.807097
3.977028,3.625639
0.591674,0.756880
15.281666,11.089281
3.443722,2.406518
0.496173,0.524320
2.056057,2.058176
4.763324,3.335610
0.783950,0.746839
2.405662,2.566138
4.154353,4.842458
1.437733,1.348525
1.201279,1.143634
0.563939,0.522796
5.346776,5.559397
2.328345,2.466905
2.892644,2.212138
0.402717,0.404795
1.123707,1.096618
0.992700,0.996926
1.778965,1.534671
3.387239,4.363160
2.795680,3.122344
0.839173,0.890823
1.462151,1.547458
0.976165,1.103230
0.929495,1.041014
1.032897,1.005674
4.516006,4.548754
2.052648,2.097060
4.329163,2.943964
0.707843,0.549353
1.007089,1.004606
0.612311,0.286571
0.621872,0.789384
3.079160,2.799052
3.066699,2.758103
0.808074,0.719955
2.669476,2.161444
2.398528,0.777467
1.238960,1.243496
2.196757,2.218254
9.172235,6.240558
2.421959,2.535719
3.264645,2.925060
1.705878,1.356605
0.901707,0.895775
2.153168,1.794103
16.807889,7.154588
0.568501,0.544001
0.913774,0.875016
1.379003,1.259715
1.398304,1.633829
1.337375,1.260781
0.207595,1.442057
6.023027,5.125463
5.948259,3.697542
0.873111,0.916667
2.908831,3.228227
3.688399,3.657651
0.767981,0.980188
0.570179,0.570944
2.871508,2.450345
0.837688,0.826557
4.068474,3.282596
3.478155,2.645367
1.160620,1.109609
1.480642,1.501062
0.391756,0.364764
1.635633,1.853094
0.306077,0.304701
2.253081,2.383633
0.720684,0.893734
0.685984,2.022633
1.709795,1.588086
0.753841,0.794623
0.682905,0.682228
3.820776,3.046578
2.057193,1.893951
0.447331,0.452292
2.828355,2.612337
1.386588,1.782483
0.517329,0.477531
2.789166,2.757237
0.683315,0.678363
1.146963,1.159159
2.915424,3.127287
3.241625,2.629165
3.010629,3.430304
2.426136,2.229321
2.186456,2.171182
0.829186,0.844383
2.058784,1.922591
0.614904,1.056118
4.898915,3.910491
4.402388,4.522886
2.361678,2.190941
4.727110,5.769503
7.957317,5.740391
10.967102,9.901628
1.466277,1.387354
1.358054,1.806696
4.547725,4.471934
5.923463,5.887718
0.595217,0.610936
2.118135,0.940561
4.400015,3.502030
3.360092,3.506412
2.425035,2.198980
3.105076,3.790549
2.223007,2.441941
1.845096,2.762315
3.221266,3.342123
4.570489,3.753439
2.392090,2.475024
7.895338,4.828875
1.724664,1.684739
2.145719,2.016788
1.947149,2.047807
0.393207,0.994521
7.065803,6.125146
1.661650,1.888055
0.264821,0.256164
2.232465,2.169776
13.136354,11.736187
6.021717,3.768484
0.545171,0.511631
0.845922,0.888778
3.015560,5.119993
2.661631,2.641520
1.276199,1.439987
2.831004,3.183928
0.549291,0.571617
4.428412,3.824232
4.536028,3.981393
2.804568,3.234783
2.737368,2.449099
14.674219,14.980881
3.209808,2.853985
2.496561,2.821845
0.893310,0.791418
1.656567,1.369054
2.005021,1.572602
1.432210,1.288772
1.040058,1.038741
2.785066,2.621174
6.548580,7.661003
0.525303,0.608019
0.827999,1.148225
0.700337,0.701317
2.477136,2.550412
0.637607,2.653016
3.017460,2.619155
0.737661,0.502415
0.838179,0.823258
0.814365,0.845511
2.539602,3.184667
12.401650,9.766935
3.160029,3.810396
4.512030,4.664681
2.676505,3.255544
1.030450,0.970262
2.302897,1.938922
1.636062,1.637768
2.419071,3.143825
1.455661,1.366839
2.093959,2.048893
1.489136,1.535588
1.107036,1.131164
11.907053,4.081291
3.445431,2.865365
2.906040,3.166910
5.726945,5.181661
4.445385,3.832787
2.500458,2.149833
1.515286,1.349760
0.416483,0.850230
2.647227,2.611110
0.606521,0.609560
4.972338,5.141251
2.375954,2.707259
1.034654,0.980617
1.844740,2.134593
2.213741,1.831031
1.613690,1.413864
3.413217,3.270940
3.621797,3.452763
3.469978,3.616455
3.521844,7.326409
2.980438,1.841879
3.495938,2.711711
3.730372,4.266951
1.572770,1.700531
0.471590,0.474470
2.941599,3.197599
0.978274,1.052791
10.373594,8.005521
2.038615,2.428708
2.961685,3.045862
3.158058,2.039507
0.855933,0.844735
3.108901,8.566280
0.649520,0.642596
1.704227,1.686758
0.387039,0.412207
2.003318,1.708117
4.457614,3.998873
4.963392,4.017579
8.169217,7.316218
3.286380,3.411151
2.705038,2.572710
0.848085,0.870832
4.126605,4.360438
4.917882,6.445727
1.088638,1.521578
5.452696,4.215699
4.300589,11.243898
1.446277,1.292204
1.362438,1.564672
0.764026,0.720258
0.751889,0.853622
1.080918,0.954029
7.083995,4.333147
5.824907,7.033796
0.418284,0.410492
3.218983,2.799219
3.016260,3.355829
0.992952,0.950496
3.316260,3.319164
5.219177,4.321020
2.582923,2.796977
1.499331,3.217982
0.615920,0.607095
1.982140,2.301781
2.608990,2.652305
0.783302,0.644215
0.509961,0.522955
1.950611,2.454668
1.846577,1.760645
0.471641,0.467473
1.568890,1.634336
2.186694,1.793477
3.360982,3.941936
7.135916,5.626391
4.501651,4.430835
1.732750,1.557822
1.418936,1.363146
2.399359,2.507235
0.757612,0.725851
1.517355,1.540340
5.351757,3.870108
0.745193,0.760511
0.280470,0.463870
6.406536,5.319104
1.692614,1.533500
2.601577,2.719371
3.174836,2.961809
0.668812,0.667991
1.626356,1.544607
1.472422,1.470273
0.873570,0.930195
1.057796,1.059780
0.535447,0.560096
1.763432,1.592301
1.668339,1.656952
2.116142,2.064361
4.911146,5.309221
3.489633,3.687435
9.851576,10.820169
0.534599,0.534724
3.572609,4.288004
4.840429,5.519109
9.419196,4.578616
3.967064,3.805112
0.553257,1.220067
0.612071,2.152308
2.645264,2.394699
2.132512,2.219108
1.968820,1.674568
0.885619,0.950872
3.103950,2.996659
3.064944,3.458814
1.474220,1.792204
3.766364,3.290628
6.868473,4.388119
0.877710,0.829100
4.941376,3.578279
4.002402,3.147386
2.895521,2.363249
4.455575,3.740578
1.928240,1.773595
1.890714,1.953539
2.017189,1.908131
1.438442,1.555844
1.321438,1.443381
2.267751,2.170836
0.323109,0.336627
0.621564,0.638173
1.317653,0.325255
0.554891,0.556172
3.178741,3.645004
4.576637,4.669900
0.717667,0.788751
3.507709,4.157523
0.949941,0.897765
2.487633,3.030715
0.774205,0.768021
4.086312,3.260867
1.491812,1.277198
6.401516,6.387537
2.954748,2.305490
1.812353,1.583977
0.640247,0.684693
0.758745,0.768542
4.224471,5.668757
5.995865,6.481434
0.804195,0.795457
2.824594,2.782372
0.685195,0.698675
0.498716,0.525301
2.749828,3.806493
0.852132,0.830208
1.031629,1.010077
0.640615,0.629273
0.464576,0.465892
1.668731,1.687241
1.917079,1.035648
4.856615,3.782170
0.604027,0.524610
1.214763,1.124544
9.129123,8.687442
6.409933,5.990038
0.538440,0.403213
0.388604,0.392222
2.942583,2.747947
1.264162,1.241379
6.664344,11.088256
2.259510,2.174806
1.328691,0.813898
0.734314,1.046989
2.301030,2.131136
1.082769,1.047967
0.468714,0.393058
0.660251,0.675170
0.604149,0.600769
1.833351,2.616358
2.645266,2.934185
6.312430,4.916427
4.135088,5.978105
4.519605,4.377935
1.050784,1.086005
1.327489,1.378335
4.345931,6.936765
3.074084,3.084303
0.620610,0.635655
0.814932,0.758564
1.953562,1.719038
2.134622,2.609519
1.788729,1.446883
0.927609,0.721869
2.609229,2.563707
1.050044,1.155206
3.131848,1.979995
1.022276,1.046823
2.104104,2.905932
3.579888,3.591958
80.837828,4.405837
2.553965,2.879242
7.197094,4.319003
2.059367,1.914780
4.760437,5.295019
1.572022,1.462091
0.893174,0.850390
5.621364,3.182970
5.742757,8.005450
4.830417,2.753470
2.191868,2.233070
0.187132,0.466648
1.142962,1.128750
1.233138,1.188273
0.212968,2.014971
0.762023,0.539904
0.408509,0.421366
4.615347,4.232326
0.559363,0.447338
3.330237,2.374854
0.486412,0.503449
1.861384,1.954291
0.778910,0.744922
1.836276,1.518445
0.307571,0.315832
1.051674,1.038206
1.309679,1.198684
1.250299,1.166991
0.751071,0.515853
1.148552,0.644820
1.466112,1.521335
3.723787,3.159611
0.463654,0.453996
4.648573,4.045513
0.999617,1.063413
0.922725,0.880005
1.019722,0.942025
3.389472,1.191280
0.599143,0.580082
1.096766,1.006463
3.286963,3.553654
4.004266,4.376922
2.816578,2.467047
0.959877,1.640290
4.009437,3.899525
16.505518,11.460273
0.462903,0.477922
5.954032,5.249622
3.285162,5.607591
0.889391,0.873077
3.648331,3.544875
2.675179,2.304530
1.006191,0.927198
9.804371,4.698888
0.503239,0.292271
1.671673,1.646691
1.300184,1.179372
1.270782,1.298919
3.004813,3.363096
2.144148,2.538470
0.693812,0.418634
11.599358,8.757242
2.968268,2.916364
4.064139,3.405208
0.575968,0.547049
3.079068,2.780171
2.310575,2.286291
