recoP,trueP,recoTheta,trueTheta
1.023456,1.026972,21.700894,22.606808
3.164405,2.329318,10.935187,3.816390
1.143868,1.185684,12.696501,7.877063
1.015033,0.978944,15.741397,15.897839
3.975002,3.508229,3.942977,4.058254
2.229521,2.140668,14.940868,14.414260
1.593089,1.652426,18.158956,18.539038
2.605196,2.646868,9.661942,7.612003
1.498235,1.390812,15.000478,15.236197
1.554437,1.513691,22.818255,21.994190
1.486514,1.271326,17.384109,15.477227
1.847515,1.762534,28.343606,27.713553
1.718986,1.374048,9.556170,10.076399
1.247944,1.165578,5.146470,5.565353
3.578720,3.945951,6.376059,4.274801
1.559037,1.445514,16.363986,16.226842
1.007984,1.071963,33.204569,37.461074
3.898724,3.956905,7.487106,6.217729
0.873526,1.965347,10.088455,8.146061
1.371407,1.247714,21.572616,21.280088
0.912969,0.943886,23.341195,24.140975
0.960063,0.931446,35.220721,20.948504
1.691846,1.674659,5.921490,5.409504
0.993691,1.028997,31.892104,32.541402
93.280523,9.160738,7.171624,6.839568
0.980350,1.032991,34.309050,30.879493
2.126489,2.256269,10.154257,10.500674
0.769951,0.788570,5.860366,5.505521
0.558825,0.536848,29.688560,28.583416
1.150671,2.011089,18.037665,17.347208
6.065834,5.732370,6.913131,6.778241
1.220414,1.215303,24.397929,23.073158
1.507824,1.894192,24.401079,23.822788
5.223249,5.172891,8.803214,8.941361
1.845979,1.188706,11.841605,12.524339
0.448606,0.458185,0.990513,12.223307
1.328909,1.434299,11.103263,9.565443
5.099303,5.444528,2.113870,2.892456
2.768283,3.138314,12.276278,11.135722
2.336225,2.450289,4.550188,4.304479
6.408375,4.035621,3.167185,3.120293
5.395732,11.344760,1.146542,0.519265
1.191912,1.147415,18.145571,17.933990
0.778231,0.875183,33.041225,31.433538
1.377235,1.420668,12.110562,12.657659
103.128977,6.858516,4.659006,3.517194
5.561155,4.693575,10.970739,9.474195
6.336742,9.836266,0.808183,0.764383
6.909376,5.779139,0.463094,0.326858
1.061779,1.049979,6.464293,7.085432
1.191287,1.185124,8.236759,8.158126
0.850360,0.788082,20.951283,21.342163
4.957553,3.528662,7.037790,6.862614
1.928625,1.541313,18.575576,20.114813
1.933883,1.921632,21.458641,24.290684
1.615017,1.664351,9.352526,9.368085
1.338780,1.303252,18.159558,19.081508
2.855160,2.846594,9.317703,9.013953
3.323674,2.860927,10.685406,11.654960
1.847635,1.538106,36.392662,15.716693
1.301268,1.344026,15.837448,14.594007
1.131407,1.111646,30.186168,31.236793
