recoP,trueP,recoTheta,trueTheta
0.943919,0.961997,37.014170,33.801817
1.529306,1.650398,22.460482,22.277762
4.361934,6.712767,7.207997,8.391898
3.788395,3.544582,8.952187,9.335152
4.913130,4.293699,3.791372,2.886562
4.012672,6.440440,10.664703,10.302307
1.162143,1.208829,13.604511,12.453193
10.637067,7.012782,9.441837,8.939186
3.479448,3.328588,5.214888,4.456236
8.564275,6.897957,4.264113,3.810074
26.786471,6.825227,7.597526,7.677798
6.844884,5.465057,8.004864,7.883789
2.582763,3.218964,12.666726,12.273097
10.573606,7.894600,0.991698,0.522271
2.752344,2.688071,11.209412,10.209124
5.375647,5.958336,9.855984,10.145497
1.369027,1.365561,25.928001,27.444251
1.926286,1.680666,28.084008,26.969909
0.543431,0.384513,48.409701,44.016340
1.670134,1.788353,7.915024,6.973867
1.856317,2.741260,5.112934,7.188619
3.085889,6.496404,16.359367,16.458487
2.023517,1.956327,22.326960,22.338473
1.119577,2.129707,39.564943,39.686795
0.788671,0.794069,38.834788,36.907253
8.513978,7.148669,8.793435,8.462576
1.561948,1.442689,36.760577,36.416284
1.115122,1.094570,43.660297,48.748429
2.200217,2.225415,15.745387,15.700522
2.378202,2.669737,5.800863,4.919801
2.909777,2.549119,9.414067,10.225412
1.108435,0.663492,56.802985,55.561120
0.698958,0.726812,25.239008,27.869469
2.155368,2.081436,13.859427,10.888118
5.804862,6.749452,4.235772,4.530386
8.246535,5.723384,4.030509,4.500585
3.490520,3.471919,19.902037,20.076158
6.151229,5.578021,8.178965,7.898539
2.279780,3.040075,9.182518,8.552995
148.831500,7.883773,4.192131,3.866803
0.893402,0.911173,38.190759,35.511307
2.116914,1.950465,22.319453,21.516482
3.275665,2.744942,21.604359,18.250440
3.692064,4.440300,6.580523,5.172748
2.014129,1.156138,29.036874,26.872457
4.916313,5.155554,8.540954,8.440734
1.484327,1.381834,13.870700,11.523127
1.920510,2.460466,13.163617,10.998305
7.051990,6.530294,4.262964,3.870194
1.697434,1.746703,15.431628,20.097596
1.104822,1.144613,22.377634,18.947076
1.411426,1.458356,11.554438,10.501817
1.214689,1.245967,16.416258,16.074395
4.332335,5.369876,12.059097,12.648679
1.541228,1.570271,8.420888,8.731854
1.685092,1.655524,28.417824,26.462948
4.857169,5.994805,11.076631,11.063203
3.038008,3.166986,15.631114,13.852568
4.968067,4.089145,16.503220,15.256313
0.873166,0.811136,39.820294,39.886387
4.575514,4.757952,8.081334,7.633423
1.550123,1.585003,23.746484,23.370725
2.117673,2.179771,9.430068,3.759944
3.129196,2.975245,5.542559,5.701142
11.195015,8.661272,9.175560,8.948456
4.028386,4.192255,19.967444,18.988546
1.785142,1.770122,11.539459,9.814639
0.853769,0.886571,28.626222,26.582939
1.521285,1.674173,15.628148,15.761374
1.155342,1.000302,30.328354,28.745528
1.391508,1.299860,32.107765,32.219846
13.830361,11.215140,6.382975,5.797855
2.831914,3.078875,20.604183,21.227019
1.195004,1.207975,13.345323,13.271663
0.984059,0.941259,50.230072,49.523916
0.537632,0.672979,51.803882,54.303793
4.288729,3.666913,12.738107,13.122179
1.773069,1.881241,14.096527,8.345768
3.256842,1.489071,30.885382,30.395310
3.269427,2.259174,20.161117,20.009774
1.549200,1.950151,3.219114,1.951440
4.050349,4.016267,7.987139,7.446872
