recoP,trueP,recoTheta,trueTheta
1.383082,1.421326,20.149441,20.102366
1.039841,0.994805,34.551880,31.916207
1.008909,1.004881,15.429305,15.492065
0.908783,0.467218,31.770256,28.688752
0.452274,0.479961,38.969550,38.148844
1.139473,1.186292,15.341956,16.215668
1.009093,0.958219,30.464302,28.476326
1.514012,1.454552,29.346641,29.814424
1.536408,1.908682,7.176983,7.097493
0.356149,0.356572,35.908366,40.512604
0.751388,0.757558,8.145337,8.715282
3.050121,3.584078,6.398193,6.135265
1.215405,1.241360,22.275132,22.186400
0.546764,0.581593,27.788356,28.960808
1.583865,1.554064,4.928633,3.760257
0.839803,0.924274,19.558231,19.488241
1.749821,1.536754,17.772525,15.071629
1.723559,1.683425,14.264135,11.449331
0.437825,0.460361,41.871696,46.480658
0.674609,0.713263,26.679979,24.904618
3.486501,3.406443,14.524968,14.778753
1.928134,1.926126,24.613513,22.885537
0.662785,0.495673,23.521042,22.778057
0.638559,0.685584,16.877055,14.111102
0.398786,0.407763,26.363168,23.257436
0.665495,0.694021,18.902218,19.525550
0.924275,0.905405,14.520950,14.170233
0.627185,0.403877,8.295431,11.890516
3.452281,3.499862,6.670180,5.581704
1.005229,1.057271,8.038099,7.628331
1.739449,1.793915,11.079386,11.000488
0.687126,0.687760,22.308425,22.001083
1.806955,1.575606,15.014893,16.810643
0.641130,0.633702,9.030417,10.368151
0.875083,0.674825,36.473973,34.441780
3.759960,2.308671,20.252207,20.402649
1.578980,1.779474,14.970471,15.431538
0.491225,0.535037,21.093055,20.818393
0.733284,0.658936,20.425070,21.606594
1.762240,1.784090,6.746309,6.940061
1.956386,2.119668,8.945974,9.726840
4.263992,3.982038,13.861238,13.103377
3.868528,4.116066,6.246953,5.872561
1.535235,1.586344,24.255834,23.871536
0.607359,0.614278,11.949164,13.627287
0.776693,0.755339,22.545384,26.340987
3.032560,2.359371,4.883189,4.206495
0.835181,0.918996,11.868402,11.628237
2.272860,2.125258,8.421961,9.002546
0.929380,0.666601,22.726682,23.426923
2.548066,2.872205,5.854309,5.111938
4.618951,4.124857,7.500146,7.794601
0.495615,0.553257,18.231314,19.009642
0.482130,0.527082,10.609347,11.309302
2.887620,2.981503,15.660745,15.772661
0.759601,0.836691,36.308092,37.279253
1.099334,0.862994,14.177583,14.497014
2.267244,2.508459,11.343245,11.333118
0.958562,0.923325,11.014565,10.175949
0.561833,0.597817,32.054409,34.086329
0.527040,0.516591,45.521490,44.602411
1.111712,1.097006,7.882593,6.919200
3.098481,2.303707,8.652764,7.762809
2.820030,2.654653,8.823186,8.821627
0.686369,0.682476,7.153848,6.496760
0.727440,0.748252,10.432112,11.437867
0.652084,0.681901,31.269593,31.151465
1.257844,1.358645,8.987671,11.083721
0.513118,0.571612,5.714706,4.695735
0.615049,0.628755,33.069913,34.089077
0.540780,0.570261,27.175167,26.148309
1.073171,0.840479,22.949444,22.880531
0.766141,0.761612,48.897723,49.193294
0.770062,0.597232,41.776912,40.628585
1.275068,1.186951,10.821910,11.978654
0.618498,0.652326,19.809907,17.863707
0.487109,0.507059,24.274964,24.096639
1.604882,1.440014,12.784829,13.423367
1.040148,0.998708,33.299774,33.368930
0.714345,0.609268,27.277357,27.680474
2.791650,3.064108,7.498707,7.162344
0.914813,0.937027,15.060396,15.346280
0.538612,0.548229,5.093546,11.762007
0.475572,0.500990,32.538392,31.109584
1.151387,1.096301,16.545473,15.574714
2.053741,1.961492,3.403005,3.613842
1.202751,1.140707,16.417986,13.511803
