recoP,trueP,recoTheta,trueTheta
4.891993,5.969224,13.724872,13.089768
0.555712,0.564429,8.934063,11.414836
0.694944,0.708971,23.786244,25.575045
1.625964,1.777625,36.840631,37.409539
3.461020,4.489703,15.174334,14.687587
4.527238,4.971082,11.672984,11.888826
1.264824,1.219619,19.479281,18.294173
0.360214,0.367583,18.306833,19.925799
1.093976,1.033980,17.821855,17.439244
0.976538,0.851578,32.374650,27.771855
2.643962,2.497609,11.751297,12.878599
0.329735,0.335051,30.942357,29.964432
0.565487,0.607463,23.487329,30.123037
6.866466,7.354928,3.956562,3.858133
1.802935,1.789481,14.486574,13.462618
47.843375,3.874423,22.930825,24.520052
2.588812,3.312395,14.875506,15.493843
0.708571,0.717273,11.893615,9.317703
2.661727,2.901888,22.027368,20.579092
0.445387,0.379352,34.146043,34.566659
1.228414,1.173188,28.243622,18.586251
5.359345,2.307581,6.497334,7.339786
0.449869,0.471876,51.158453,52.725224
2.241284,2.616408,8.196638,7.671866
1.421599,1.411742,15.021285,15.397567
2.656494,2.535313,15.101309,9.222920
5.009366,4.068492,4.812267,2.794283
0.772024,0.785111,13.788263,13.397613
1.138137,1.131051,5.361218,10.716544
2.871365,3.627921,12.818767,11.806789
2.636207,2.624525,11.452479,10.424320
2.551270,3.475598,17.389880,17.286227
3.503477,3.852316,4.765017,5.353207
0.689076,0.665902,20.967380,18.952828
2.937038,2.589743,25.666730,26.451557
42.182133,3.998389,0.825905,1.879407
0.550956,0.563739,2.462276,2.916584
1.624594,1.510216,27.239344,23.705294
0.837235,0.944083,28.977329,18.269710
5.683020,6.828398,5.998747,5.615031
4.363454,3.571068,7.952113,7.630081
2.132033,1.918337,11.980250,10.978310
2.384420,2.471355,15.088799,13.811586
0.905532,0.906540,7.518726,6.957309
2.056575,2.299857,22.937573,18.244463
1.605291,1.465088,26.542937,18.079870
6.138908,5.571158,7.059887,7.248141
1.797508,1.996662,21.426608,22.520253
1.603309,1.456064,23.322423,21.611621
1.029688,0.416153,32.671746,24.564984
1.453898,1.279117,17.072811,13.655205
1.272563,1.256570,29.535922,29.819362
1.956473,1.758563,26.725282,26.116821
10.096769,5.205027,4.392265,3.727043
6.566159,6.835556,0.515862,1.718853
4.108466,3.308521,16.567512,13.564847
1.160460,1.243421,19.331082,17.250678
2.096301,1.912178,8.646610,9.055534
1.136724,0.930044,33.069112,33.073812
3.165810,3.252277,10.183678,8.924096
1.959913,1.870268,16.127248,16.583075
27.309033,1.117372,11.804034,10.074115
1.885998,1.976659,19.239280,23.393116
0.819072,0.933000,8.234613,7.626067
4.487900,4.984612,7.665928,7.514392
2.915836,2.665635,17.589467,18.142347
1.860617,1.774679,19.178257,18.192599
0.927003,0.934043,14.625000,13.744362
1.033498,1.017058,25.761851,24.756208
4.945587,4.200170,12.216789,11.808741
2.958710,3.816098,9.355447,8.599575
3.507810,2.546594,12.405625,11.738093
1.657033,1.762783,13.523521,15.670395
3.666564,3.901520,7.785228,7.692865
1.534946,1.526501,13.590014,13.317508
9.138962,5.910244,10.097049,10.345184
2.068524,2.289928,4.177624,4.346723
5.576532,4.836907,6.793213,7.072629
4.183907,4.429263,12.134272,11.946080
1.315769,0.888185,16.251706,19.512436
0.172557,0.344957,45.809853,1.474323
8.313106,4.179993,2.268485,2.322626
1.780552,1.535702,16.435110,18.066352
