-0.5  0.5   0.0
 0.5  1.5   0.00544884  0.000715755
 1.5  2.5   0.00637874  0.000637874
 2.5  3.5   0.00758793  0.00137722
 3.5  4.5   0.00837582  0.000864548
 4.5  5.5   0.00932195  0.000932195
 5.5  6.5   0.010596    0.0010596
 6.5  7.5   0.0         0.0
 7.5  8.5   0.00389829  0.00147831
 8.5  9.5   0.00448873  0.000947006
 9.5  10.5  0.00584136  0.0010551
 10.5 11.5  0.0057458   0.000986711
 11.5 12.5  0.00612251  0.000621326
 12.5 13.5  0.0383093   0.05339352
 13.5 14.5  0.0156627   0.00349358
