0 1e6 0.0	  400	    14	 15		0.121
0 1e6 400	  500 	  14	 15		0.130
0 1e6 500	  600	    14	 15		0.122
0 1e6 600	  700	    14	 15		0.115
0 1e6 700	  1000	  14	 15		0.129
0 1e6 1000	1500	  14	 15		0.116
0 1e6 1500	2500	  14	 15		0.100
0 1e6 2500	3500	  14	 15		0.095
0 1e6 3500	5000	  14	 15		0.112
0 1e6 5000	7000	  14	 15		0.152
0 1e6 7000	30000	  14	 15		0.187
0 1e6 0.0	  700	   -14	-13		0.133
0 1e6 700	  1000	 -14	-13		0.117
0 1e6 1000	1500	 -14	-13		0.119
0 1e6 1500	2500	 -14	-13		0.123
0 1e6 2500	30000	 -14	-13		0.122
0 1e6 0.0	  500	    12	 13		0.131
0 1e6 500	  700	    12	 13		0.125
0 1e6 700	  800	    12	 13		0.141
0 1e6 800	  1500	  12	 13		0.105
0 1e6 1500	2500	  12	 13		0.105
0 1e6 2500	4000	  12	 13		0.123
0 1e6 4000	30000	  12	 13		0.168
0 1e6 0.0	  2500	 -12	-11		0.192
0 1e6 2500	30000	 -12	-11		0.142
